Date,League,Home,Away,Odds_H,Odds_A,Odds_H_X,Odds_X_A,Pred_H,Pred_A,Winning_team,Winning_prob,Winning_bet,Winning_bet_final,bet_type,bet_type_order,date,team,opponent,result,Winning_team_actual,bet_right,bet_right_win_draw
2023-09-27,SERIE A ,Internazionale,Sassuolo,1.32,8.9,1.17,1.17,0.85,0.15,Internazionale,0.85,1.32,1.32,safest_bet,3,2023-09-27,Internazionale,Sassuolo,L,Sassuolo,0,0
2023-09-16,LIGA PORTUGAL ,Vizela,Benfica,8.0,1.33,1.17,1.17,0.31,0.69,Benfica,0.69,1.33,1.33,safest_bet,3,2023-09-16,Vizela,Benfica,L,Benfica,1,1
2023-09-24,SERIE A ,Atalanta,Cagliari,1.33,8.7,1.17,1.17,0.93,0.07,Atalanta,0.93,1.33,1.33,safest_bet,3,2023-09-24,Atalanta,Cagliari,W,Atalanta,1,1
2023-10-29,SERIE A ,Internacional,Coritiba,1.33,9.5,1.17,1.17,0.81,0.19,Internacional,0.81,1.33,1.33,safest_bet,3,2023-10-29,Internacional,Coritiba,L,Coritiba,0,0
2023-09-24,SERIE A ,Empoli,Internazionale,8.3,1.34,1.17,1.17,0.35,0.65,Internazionale,0.65,1.34,1.34,safest_bet,3,2023-09-24,Empoli,Internazionale,L,Internazionale,1,1
2023-09-15,SERIE A ,Palmeiras,Goias,1.35,9.0,1.17,1.17,0.84,0.16,Palmeiras,0.84,1.35,1.35,safest_bet,3,2023-09-15,Palmeiras,Goias,W,Palmeiras,1,1
2023-09-23,JUPILER PRO LEAGUE ,Antwerp,RWD Molenbeek,1.35,8.5,1.17,1.17,0.88,0.12,Antwerp,0.88,1.35,1.35,safest_bet,3,2023-09-23,Antwerp,RWD Molenbeek,D,Draw,0,1
2023-09-23,LALIGA ,Barcelona,Celta Vigo,1.35,8.5,1.17,1.17,0.9,0.1,Barcelona,0.9,1.35,1.35,safest_bet,3,2023-09-23,Barcelona,Celta Vigo,W,Barcelona,1,1
2023-09-30,PREMIER LEAGUE ,Wolverhampton Wanderers,Manchester City,8.8,1.35,1.17,1.17,0.21,0.79,Manchester City,0.79,1.35,1.35,safest_bet,3,2023-09-30,Wolverhampton Wanderers,Manchester City,W,Wolverhampton Wanderers,0,0
2023-10-28,SERIE A ,Juventus,Hellas Verona,1.35,9.3,1.17,1.17,0.93,0.07,Juventus,0.93,1.35,1.35,safest_bet,3,2023-10-28,Juventus,Hellas Verona,W,Juventus,1,1
